Podcast Episode #,Type,Podcast Title,Guest(s),Date of Podcast,Date of Podcast,File Type,File Name,Drive Link,Completion,Issues,OPS Feedback,Transcription,,Podcast Info:  https://docs.google.com/spreadsheets/d/1adks5SRjZncKi1wEZ7lLQu6-bbx_7UbV/edit?gid=2111867383#gid=2111867383
258,The Blueprint Podcast,Needle in a Haystack,Daniel Hill ,12-Nov-2024,Tuesday 12th November,Audio,POD 2024 - Episode 258 - Audio,TBP_258_Needle_Haystack_Edited.mp3,Done-M,,,,,
259,Hall of Fame,Award Winners:  Mark Reid - From Loss Making to Lucrative ,Rachel Davis & Mark Reid,15-Nov-2024,Friday 15th November,Audio,POD 2024 - Episode 259 - Audio,TBP_259_Edited.mp3,Done-M,,,,,
260,The Blueprint Podcast,What Do I Own,Daniel Hill ,19-Nov-2024,Tuesday 19th November,Audio,POD 2024 - Episode 260 - Audio,TBP_260_What_Do_I_Own_Edited.mp3,Done-M,,,,,
261,The Blueprint Podcast,Financial Fortress Masterclass,Daniel Hill ,26-Nov-2024,Tuesday 26th November,Audio,POD 2024 - Episode 261 - Audio,TBP_261_Financial_Fortress_Masterclass_Edited.mp3,Done-M,,,,,
262,Deals Deals Deal,"Profit Play: Using a Joint Venture Partner for £200k+ Profit
",Mark Barrett and Jay Chauhan,1-Dec-2024,Sunday 1st December,Audio,POD 2024 - Episode 262 - Audio,TBP_262_DDD_Edited.mp3,Done-M,,,,,
263,The Blueprint Podcast,The Chairman Blueprint ,Daniel Hill ,3-Dec-2024,Tuesday 3rd December,Audio,POD 2024 - Episode 263 - Audio,TBP_263_Chairman_Edited.mp3,Done-M,,,,,
264,The Blueprint Podcast,Burnout Brain,Daniel Hill ,10-Dec-2024,Tuesday 10th December,Audio,POD 2024 - Episode 264 - Audio,TBP_264_Burnout_Brain_Edited.mp3,Done-M,,,,,
265,Hall of Fame,Award Winners: Chris Dornan - From Working In The Business To On It ,Rachel Davis & Chris Dornan,15-Dec-2024,Sunday 15th December,Audio,POD 2024 - Episode 265 - Audio,TBP_265_HOF_Edited.mp3,Done-M,,,,,
266,The Blueprint Podcast,Master the Market,Daniel Hill ,17-Dec-2024,Tuesday 17th December,Audio,POD 2024 - Episode 266 - Audio,TBP_266_Edited.mp3,Done-M,,,,,
267,6 Rounds,DH & Simon Zutshi go 6 rounds! (podcast recording 10/12/2024),Daniel Hill and Simon Zutshi,24-Dec-2024,Tuesday 24th December,Audio,POD 2024 - Episode 267 - Audio,TBP_267_Simon_6R_Edited.mp3,Done-M,,,,,
268,The Blueprint Podcast,One Word: My Gift To You,Daniel Hill & Guillaume Black,31-Dec-2024,Tuesday 31st December,Audio,POD 2024 - Episode 268 - Audio,TBP_268_One_Word_Edited.mp3,Done-M,,,,,
269,Deals Deals Deal,New Year Special : The Best Strategies for 2025,Mark Barrett & Daniel Hill,1-Jan-2025,Wednesday 1st January 2025,Audio,POD 2025 - Episode 269 - Audio,TBP_269_DDD_Edited.mp3,Done-M,,,,,
270,The Blueprint Podcast,2025 Property Market Predictions,Daniel Hill ,7-Jan-2025,Tuesday 7th January,Audio,POD 2025 - Episode 270 - Audio,TBP_270_2025_Predictions_Edited.mp3,Done-M,,,,,
271,The Blueprint Podcast,Year of Retirement,Daniel Hill ,14-Jan-2025,Tuesday 14th January,Audio,POD 2025 - Episode 271 - Audio,TBP_271_Year_Of_Edited.mp3,Done-M,,,,,
272,The Blueprint Podcast,Award Winners David Akibu and Neil Gallagher: Strategy Day Finalists 2025,"Josh Keegan, David Akibu and Neil Gallagher",15-Jan-2025,Wednesday 15th January ,Audio,POD 2025 - Episode 272 - Audio,TBP_272_Edited.mp3,Done-M,,,,,
273,The Blueprint Podcast,Don't Go Bust Blueprint,Daniel Hill ,21-Jan-2025,Tuesday 21st January,Audio,POD 2025 - Episode 273 - Audio,TBP_273_Dont_Go_Bust_Edited.mp3,Done-M,,,,,
274,The Blueprint Podcast,Design and Build Blueprint,Daniel Hill ,28-Jan-2025,Tuesday 28th January,Audio,POD 2025 - Episode 274 - Audio,TBP_274_Design_and_Build_Edited (1).mp3,Done-M,,,,,
275,Deals Deals Deal,"£150k Equity, £70k pa Cashflow & No Funds Required",Mark Barrett & Grant Hutchby,1-Feb-2025,Saturday 1st February,Audio,POD 2025 - Episode 275 - Audio,TBP_275_DDD_Edited.mp3,Done-M,,,,,
276,The Blueprint Podcast,My Top 10 Lessons Learned 2024,Daniel Hill ,4-Feb-2025,Tuesday 4th February ,Audio,POD 2025 - Episode 276 - Audio,TBP_276_10_Lessons_Edited.mp3,Done-M,,,,,
277,The Blueprint Podcast,The World Class EA Blueprint,Daniel Hill ,11-Feb-2025,Tuesday 11th February,Audio,POD 2025 - Episode 277 - Audio,TBP_277_EA_Blueprint_Edited.mp3,Done-M,,,,,
278,The Blueprint Podcast,"PEA Award Winner 2025 - Rosanna Meyer
",Rosanna Meyer ,15-Feb-2025,Saturday 15th February,Audio,POD 2025 - Episode 278 - Audio,TBP_278_Edited.mp3,Done-M,,,,,
279,The Blueprint Podcast,Behind The Scenes: 2025 Strategy Day,Daniel Hill ,18-Feb-2025,Tuesday 18th February,Audio,POD 2025 - Episode 279 - Audio,TBP_279_Strategy_Day_Edited.mp3,Done-M,,,,,
280,The Blueprint Podcast,Rewire Your Brain Blueprint: Pay More Money!,Daniel Hill ,25-Feb-2025,Tuesday 25th February,Audio,POD 2025 - Episode 280 - Audio,TBP_280_Rewire_your_brain_Edited.mp3,Done-M,,,,,
281,Deals Deals Deal,Profit play using Auctions for £100k+ profit on 4 deals,Mark Barrett and David France,1-Mar-2025,Saturday 1st March,Audio,POD 2025 - Episode 281 - Audio,TBP_281_DDD_Edited.mp3,Done-M,,,,,
282,The Blueprint Podcast,My House Blueprint - Rolls Royce Rhythm,Daniel Hill ,4-Mar-2025,Tuesday 4th March,Audio,POD 2025 - Episode 282 - Audio,TBP_282_My_House_Blueprint_Edited.mp3,Done-M,,,,,
283,The Blueprint Podcast,Set & Forget Blueprint,Daniel Hill ,11-Mar-2025,Tuesday 11th March,Audio,POD 2025 - Episode 283 - Audio,TBP_283_Set__Forget_Edited.mp3,Done-M,,,,,
284,Hall of Fame,Living Off the Steam - Financial Stress to Financial Fortress,Katie Harvey and Chris McDermott,15-Mar-2025,Saturday 15th March,Audio,POD 2025 - Episode 284 - Audio,TBP_284_HOF_Chris_McDermott_Edited.mp3,Done-M,,,,,
285,The Blueprint Podcast,Snooze You Lose Rant,Daniel Hill ,18-Mar-2025,Tuesday 18th March,Audio,POD 2025 - Episode 285 - Audio,TBP_285_Snooze_You_Lose_Edited.mp3,Done-M,,,,,
286,The Blueprint Podcast,Sunday Sanity Blueprint,Daniel Hill ,25-Mar-2025,Tuesday 25th March,Audio,POD 2025 - Episode 286 - Audio,TBP_286_Sunday_Sanity_Edited.mp3,Done-M,,,,,
287,Deals Deals Deal,When Pre App Planning Goes Wrong,Mark Barrett and Gareth Morgan,1-Apr-2025,Tuesday 1st April,Audio,POD 2025 - Episode 287 - Audio,TBP_287_Pre_app_planning_goes_wrong_Edited.mp3,Done-M,,,,,
288,6 Rounds,DH & Claire Reid go 6 rounds! (podcast recording 11/03/2025),Daniel Hill and Claire Reid,8-Apr-2025,Tuesday 8th April,Audio,POD 2025 - Episode 288 - Audio,TBP_288_Claire_Reid_Edited.mp3,Done-M,,,,,
289,Hall of Fame,From Chaos to Clarity,Rachel Davis and KC Hawrylyshen,15-Apr-2025,Tuesday 15th April,Audio,POD 2025 - Episode 289 - Audio,TBP_289_Chaos_to_Clarity_Edited.mp3,Done-M,,,,,
290,The Blueprint Podcast,The Landlord Trap,Daniel Hill ,22-Apr-2025,Tuesday 22nd April,Audio,POD 2025 - Episode 290 - Audio,TBP_290_Landlord_Trap_Edited.mp3,Done-M,,,,,
291,The Blueprint Podcast,Outputs vs Inputs,Daniel Hill ,29-Apr-2025,Tuesday 29th April,Audio,POD 2025 - Episode 291 - Audio,TBP_291_Inputs_vs_Outputs_Edited.mp3,Done-M,,,,,
292,Deals Deals Deal,"Asset Building: 3 Deals, £500k+ Equity, £100k+pa Cashflow",Mark Barrett and Tom Appleton,1-May-2025,Thursday 1st May,Audio,POD 2025 - Episode 292 - Audio,TBP_292_Asset_Building_Edited.mp3,Done-M,,,,,
293,The Blueprint Podcast,Where's My Mentor?,Daniel Hill ,6-May-2025,Tuesday 6th May,Audio,POD 2025 - Episode 293 - Audio,TBP_293_Where_Is_My_Mentor_Edited_v2.mp3,Done-M,,,,,
294,The Blueprint Podcast,Spring Clean Blueprint,Daniel Hill ,13-May-2025,Tuesday 13th May,Audio,POD 2025 - Episode 294 - Audio,TBP_294_Spring_Clean_Blueprint_Edited.mp3,Done-M,,,,,
295,Hall of Fame,From On the Tools to On My Terms,Josh Keegan and Katie Harvey,15-May-2025,Thursday 15th May,Audio,POD 2025 - Episode 295 - Audio,TBP_295_Tools_Edited_v2.mp3,Done-M,,,,,
296,The Blueprint Podcast,Win Win Win Blueprint,Daniel Hill ,20-May-2025,Tuesday 20th May,Audio,POD 2025 - Episode 296 - Audio,TBP_296_Win_Win_Edited.mp3,Done-M,,,,,
297,The Blueprint Podcast,Know Your Numbers,Daniel Hill ,27-May-2025,Tuesday 27th May,Audio,POD 2025 - Episode 297 - Audio,TBP_297_Know_Your_Numbers_Edited.mp3,Done-M,,,,,
298,Deals Deals Deal,"Lessons Learnt On Building A 6-Figure Portfolio Through Property Sourcer’s
",Mark Barrett & Matt Dolman,1-Jun-2025,Sunday 1st June,Audio,POD 2025 - Episode 298 - Audio,TBP_298_Lessons_Learnt_DDD_Edited.mp3,Done-M,,,,,
299,The Blueprint Podcast,Pay No Tax - The Group Strategy Structure,Daniel Hill ,3-Jun-2025,Tuesday 3rd June,Audio,POD 2025 - Episode 299 - Audio,TBP_299_Pay_No_Tax_Edited.mp3,Done-M,,,,,
300,The Blueprint Podcast,Get Wealthy - Your Top 14 Blueprints,Daniel Hill ,10-Jun-2025,,Audio,POD 2025 - Episode 300 - Audio,TBP_300_Edited.mp3,Done-M,,,,,
301,Hall of Fame,From Carpenter to Property Mogul,Katie Harvey and David France,15-Jun-2025,Sunday 15th June,Audio,POD 2025 - Episode 301 - Audio,TBP_301_From_Carpenter_to_Property_Mogul_Edited.mp3,Done-M,,,,,
302,The Blueprint Podcast,A Crash is Coming - The 17 Year Cycle,Daniel Hill ,24-Jun-2025,Tuesday 24th June,Audio,POD 2025 - Episode 302 - Audio,TBP_302_Crash_Is_Coming_Edited.mp3,Done-M,,,,,
